qasrl_id	sentence	worker_id	full_question	full_answer	question_start	question_aux	question_body	answer	untokenized sentence	target indices for untok sent
Wiki1k:wikinews:1162655:2:1	This was further to a full witness statement I had already freely provided .	Worker-7	In what manner did i provide a full witness statement	freely	In what manner	did	I provide a full witness statement	freely	This was further to a full witness statement I had already freely provided.	1,12
Wiki1k:wikinews:1162655:2:2	I attended that interview as requested on 6 December 2013 . ''	Worker-7	In what manner did i attend that interview on 6 December 2013	as requested	In what manner	did	I attend that interview on 6 December 2013	as requested	I attended that interview as requested on 6 December 2013 .  "	1,5
Wiki1k:wikinews:1163396:0:0	In central London , masonry from a building near Holborn tube station fell on top of a car in the street outside , killing a woman and injuring a man in the car .	Worker-7	In what manner was a man in the car injured	masonry from a building near Holborn tube station fell on top of a car in the street outside	In what manner	was	a man in the car injured	masonry from a building near Holborn tube station fell on top of a car in the street outside	In central London, masonry from a building near Holborn tube station fell on top of a car in the street outside, killing a woman and injuring a man in the car.	11,21,25
Wiki1k:wikinews:1163396:0:0	In central London , masonry from a building near Holborn tube station fell on top of a car in the street outside , killing a woman and injuring a man in the car .	Worker-7	What is the result of masonry from a building near Holborn tube station falling on top of a car in the street outside	killing a woman and injuring a man in the car	What is the result of	_	masonry from a building near Holborn tube station falling on top of a car in the street outside	killing a woman and injuring a man in the car	In central London, masonry from a building near Holborn tube station fell on top of a car in the street outside, killing a woman and injuring a man in the car.	11,21,25
Wiki1k:wikinews:1163396:0:0	In central London , masonry from a building near Holborn tube station fell on top of a car in the street outside , killing a woman and injuring a man in the car .	Worker-7	In what manner was a woman killed	masonry from a building near Holborn tube station fell on top of a car in the street outside	In what manner	was	a woman killed	masonry from a building near Holborn tube station fell on top of a car in the street outside	In central London, masonry from a building near Holborn tube station fell on top of a car in the street outside, killing a woman and injuring a man in the car.	11,21,25
Wiki1k:wikinews:1163396:0:1	The woman was pronounced dead on the scene ; the man is recovering in hospital and is reported to be in a stable condition .	Worker-7	In what manner is the man recovering	in hospital and is reported to be in a stable condition	In what manner	_	is the man recovering	in hospital and is reported to be in a stable condition	The woman was pronounced dead on the scene; the man is recovering in hospital and is reported to be in a stable condition.	3,11,16,18
Wiki1k:wikinews:1163396:0:1	The woman was pronounced dead on the scene ; the man is recovering in hospital and is reported to be in a stable condition .	Worker-7	In what manner was the woman pronounced dead	on the scene	In what manner	was	the woman pronounced dead	on the scene	The woman was pronounced dead on the scene; the man is recovering in hospital and is reported to be in a stable condition.	3,11,16,18
Wiki1k:wikinews:1163396:0:2	A third , female passenger in the car escaped before emergency responders arrived .	Worker-7	Before what did a third, female passenger in the car escape	emergency responders arrived	Before what	did	A third, female passenger in the car escape	emergency responders arrived	A third, female passenger in the car escaped before emergency responders arrived.	7,11
Wiki1k:wikinews:1163396:10:1	Journeys for drivers using the A29 , A32 , A4113 , A54 , and A57 roads have all been affected .	Worker-7	In what manner have journeys been affected	for drivers using the A29, A32, A4113, A54, and A57 roads	In what manner	_	have journeys been affected	for drivers using the A29, A32, A4113, A54, and A57 roads	Journeys for drivers using the A29, A32, A4113, A54, and A57 roads have all been affected.	3,12,15
Wiki1k:wikinews:1163396:10:2	A 50-foot-hole appeared in the M2 motorway in Kent which led to the closure of a ten mile section of the road .	Worker-7	What is the result of a 50-foot-hole appearing in the M2 motorway in Kent	the closure of a ten mile section of the road	What is the result of	_	a 50-foot-hole appearing in the M2 motorway in Kent	the closure of a ten mile section of the road	A 50-foot-hole appeared in the M2 motorway in Kent which led to the closure of a ten mile section of the road.	2,10
Wiki1k:wikinews:1163396:10:2	A 50-foot-hole appeared in the M2 motorway in Kent which led to the closure of a ten mile section of the road .	Worker-7	What is the reason for the closure of a ten mile section of the road	A 50-foot-hole appeared in the M2 motorway in Kent	What is the reason	_	for the closure of a ten mile section of the road	A 50-foot-hole appeared in the M2 motorway in Kent	A 50-foot-hole appeared in the M2 motorway in Kent which led to the closure of a ten mile section of the road.	2,10
Wiki1k:wikinews:1163396:1:0	In the English Channel , an 85-year-old man and a woman in her 70s were airlifted from the cruise ship MS Marco Polo which was hit by a large storm wave on its way back to Tilbury , Essex .	Worker-7	What is the reason an 85-year-old man and a woman in her 70s were airlifted from the cruise ship MS Marco Polo	the cruise ship MS Marco Polo which was hit by a large storm wave on its way back to Tilbury, Essex	What is the reason	_	an 85-year-old man and a woman in her 70s were airlifted from the cruise ship MS Marco Polo	the cruise ship MS Marco Polo which was hit by a large storm wave on its way back to Tilbury, Essex	In the English Channel, an 85-year-old man and a woman in her 70s were airlifted from the cruise ship MS Marco Polo which was hit by a large storm wave on its way back to Tilbury, Essex.	14,24
Wiki1k:wikinews:1163396:3:0	In addition to the two deaths from yesterday 's storms , a 77-year-old man died yesterday from injuries sustained Wednesday in the town of Caernarfon , in Gwynedd , Wales .	Worker-7	In what manner did a 77-year-old man die yesterday	from injuries sustained Wednesday in the town of Caernarfon, in Gwynedd, Wales	In what manner	did	a 77-year-old man die yesterday	from injuries sustained Wednesday in the town of Caernarfon, in Gwynedd, Wales	In addition to the two deaths from yesterday\'s storms, a 77-year-old man died yesterday from injuries sustained Wednesday in the town of Caernarfon, in Gwynedd, Wales.	12,16
Wiki1k:wikinews:1163396:3:0	In addition to the two deaths from yesterday 's storms , a 77-year-old man died yesterday from injuries sustained Wednesday in the town of Caernarfon , in Gwynedd , Wales .	Worker-7	What is the result of storms	In addition to the two deaths , a 77-year-old man died yesterday from injuries	What is the result of	_	storms	In addition to the two deaths , a 77-year-old man died yesterday from injuries	In addition to the two deaths from yesterday\'s storms, a 77-year-old man died yesterday from injuries sustained Wednesday in the town of Caernarfon, in Gwynedd, Wales.	12,16
Wiki1k:wikinews:1163396:3:1	Bob Thomas was hospitalised after being hit by a falling tree in his garden .	Worker-7	What is the reason bob Thomas was hospitalised	Bob Thomas was hit by a falling tree in his garden	What is the reason	_	Bob Thomas was hospitalised	Bob Thomas was hit by a falling tree in his garden	Bob Thomas was hospitalised after being hit by a falling tree in his garden.	3,6,9
Wiki1k:wikinews:1163396:3:1	Bob Thomas was hospitalised after being hit by a falling tree in his garden .	Worker-7	After what was bob Thomas hospitalised	being hit by a falling tree in his garden	After what	was	Bob Thomas hospitalised	being hit by a falling tree in his garden	Bob Thomas was hospitalised after being hit by a falling tree in his garden.	3,6,9
Wiki1k:wikinews:1163396:4:0	The Met Office said that after storms this weekend , weather in the UK should return to `` normal winter weather '' next week .	Worker-7	In what manner should weather in the UK return next week	normal winter weather	In what manner	should	weather in the UK return next week	normal winter weather	The Met Office said that after storms this weekend, weather in the UK should return to " normal winter weather " next week.	6,14,22
Wiki1k:wikinews:1163396:4:0	The Met Office said that after storms this weekend , weather in the UK should return to `` normal winter weather '' next week .	Worker-7	After what should weather in the UK return to  ""  normal winter weather  ""  next week	storms this weekend	After what	should	weather in the UK return to  ""  normal winter weather  ""  next week	storms this weekend	The Met Office said that after storms this weekend, weather in the UK should return to " normal winter weather " next week.	6,14,22
Wiki1k:wikinews:1163396:4:1	In contrast to the predictions of the Met Office , the Environment Agency have said that floods could remain in some areas of England until March , and that up to 3,000 homes in the Thames Valley could be flooded over the weekend .	Worker-7	What is contrasted with the predictions of the Met Office	the Environment Agency have said that floods could remain in some areas of England until March, and that up to 3,000 homes in the Thames Valley could be flooded over the weekend	What is contrasted with	_	the predictions of the Met Office	the Environment Agency have said that floods could remain in some areas of England until March, and that up to 3,000 homes in the Thames Valley could be flooded over the weekend	In contrast to the predictions of the Met Office, the Environment Agency have said that floods could remain in some areas of England until March, and that up to 3,000 homes in the Thames Valley could be flooded over the weekend.	12,17,24,37
Wiki1k:wikinews:1163396:4:1	In contrast to the predictions of the Met Office , the Environment Agency have said that floods could remain in some areas of England until March , and that up to 3,000 homes in the Thames Valley could be flooded over the weekend .	Worker-7	Until when might floods remain in some areas of England	March	Until when	might	floods remain in some areas of England	March	In contrast to the predictions of the Met Office, the Environment Agency have said that floods could remain in some areas of England until March, and that up to 3,000 homes in the Thames Valley could be flooded over the weekend.	12,17,24,37
Wiki1k:wikinews:1163396:4:1	In contrast to the predictions of the Met Office , the Environment Agency have said that floods could remain in some areas of England until March , and that up to 3,000 homes in the Thames Valley could be flooded over the weekend .	Worker-7	While what could 3,000 homes in the Thames Valley be flooded	over the weekend	While what	could	3,000 homes in the Thames Valley be flooded	over the weekend	In contrast to the predictions of the Met Office, the Environment Agency have said that floods could remain in some areas of England until March, and that up to 3,000 homes in the Thames Valley could be flooded over the weekend.	12,17,24,37
Wiki1k:wikinews:1003226:0:0	Earlier today , Thailand 's Prime Minister Yingluck Shinawatra formally dissolved the country 's parliament and called for new elections .	Worker-7	In what manner did thailand\'s Prime Minister Yingluck Shinawatra call for new elections	Prime Minister Yingluck Shinawatra formally dissolved the country\'s parliament	In what manner	did	Thailand\'s Prime Minister Yingluck Shinawatra call for new elections	Prime Minister Yingluck Shinawatra formally dissolved the country\'s parliament	Earlier today, Thailand\'s Prime Minister Yingluck Shinawatra formally dissolved the country\'s parliament and called for new elections.	1,8,13
Wiki1k:wikinews:1163396:5:0	Flooding across England and Wales has led to thousands being without electricity .	Worker-7	What is the reason for thousands being without electricity	Flooding across England and Wales	What is the reason	_	for thousands being without electricity	Flooding across England and Wales	Flooding across England and Wales has led to thousands being without electricity.	0,6,9,11
Wiki1k:wikinews:1003226:0:1	The new elections are scheduled to take place on February 2 of next year .	Worker-7	In what manner are the new elections scheduled to take place	on February 2 of next	In what manner	are	the new elections scheduled to take place	on February 2 of next	The new elections are scheduled to take place on February 2 of next year.	4,6,13
Wiki1k:wikinews:1163396:5:1	In North Wales , as of Friday 17,000 people had no electricity supply , while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday 's storms .	Worker-7	Since when have 17,000 people had no electricity supply, while 7,000 homes in Cornwall and Devon had their electricity supply cut off	as of Friday	Since when	_	have 17,000 people had no electricity supply, while 7,000 homes in Cornwall and Devon had their electricity supply cut off	as of Friday	In North Wales, as of Friday 17,000 people had no electricity supply, while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday\'s storms.	8,14,19,23
Wiki1k:wikinews:1163396:5:1	In North Wales , as of Friday 17,000 people had no electricity supply , while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday 's storms .	Worker-7	What is the reason 7,000 homes in Cornwall and Devon had their electricity supply cut off	Friday\'s storms	What is the reason	_	7,000 homes in Cornwall and Devon had their electricity supply cut off	Friday\'s storms	In North Wales, as of Friday 17,000 people had no electricity supply, while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday\'s storms.	8,14,19,23
Wiki1k:wikinews:1163396:5:1	In North Wales , as of Friday 17,000 people had no electricity supply , while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday 's storms .	Worker-7	While what did 17,000 people in North Wales have no electricity supply	while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday\'s storms	While what	did	17,000 people in North Wales have no electricity supply	while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday\'s storms	In North Wales, as of Friday 17,000 people had no electricity supply, while 7,000 homes in Cornwall and Devon had their electricity supply cut off by Friday\'s storms.	8,14,19,23
Wiki1k:wikinews:1003226:0:2	According to CNN , it is unclear if Shinawatra will be her party 's choice to as a candidate in the elections .	Worker-7	Before what is it unclear if Shinawatra will be her party\'s choice to as a candidate	the elections	Before what	_	is it unclear if Shinawatra will be her party\'s choice to as a candidate	the elections	According to CNN, it is unclear if Shinawatra will be her party\'s choice to as a candidate in the elections.	0,4,9
Wiki1k:wikinews:1003226:0:2	According to CNN , it is unclear if Shinawatra will be her party 's choice to as a candidate in the elections .	Worker-7	In what manner is it unclear if Shinawatra will be her party\'s choice	According to CNN	In what manner	_	is it unclear if Shinawatra will be her party\'s choice	According to CNN	According to CNN, it is unclear if Shinawatra will be her party\'s choice to as a candidate in the elections.	0,4,9
